"AREA","RESIDENT_POPULATION","POPULATION_NOT_TAXED"
"Alabama",2348174,0
"Arizona",334162,0
"Arkansas",1752204,0
"California",3426861,0
"Colorado",939629,0
"Connecticut",1380631,0
"Delaware",223003,0
"Florida",968470,0
"Georgia",2895832,0
"Idaho",431866,0
"Illinois",6485280,0
"Indiana",2930390,0
"Iowa",2404021,0
"Kansas",1769257,0
"Kentucky",2416630,0
"Louisiana",1798509,0
"Maine",768014,0
"Maryland",1449661,0
"Massachusetts",3852356,0
"Michigan",3668412,0
"Minnesota",2387125,0
"Mississippi",1790618,0
"Missouri",3404055,0
"Montana",548889,0
"Nebraska",1296372,0
"Nevada",77407,0
"New Hampshire",443083,0
"New Jersey",3155900,0
"New Mexico",360350,0
"New York",10385227,0
"North Carolina",2559123,0
"North Dakota",646872,0
"Ohio",5759394,0
"Oklahoma",2028283,0
"Oregon",783389,0
"Pennsylvania",8720017,0
"Rhode Island",604397,0
"South Carolina",1683724,0
"South Dakota",636547,0
"Tennessee",2337885,0
"Texas",4663228,0
"Utah",449396,0
"Vermont",352428,0
"Virginia",2309187,0
"Washington",1356621,0
"West Virginia",1463701,0
"Wisconsin",2632067,0
"Wyoming",194402,0
"Alaska",55036,0
"Hawaii",255912,0
"District of Columbia",437571,0
"Puerto Rico",1299809,0
