"AREA","RESIDENT_POPULATION"
"Alabama",3266740
"Alaska",226167
"Arizona",1302161
"Arkansas",1786272
"California",15717204
"Colorado",1753947
"Connecticut",2535234
"Delaware",446292
"Florida",4951560
"Georgia",3943116
"Hawaii",632772
"Idaho",667191
"Illinois",10081158
"Indiana",4662498
"Iowa",2757537
"Kansas",2178611
"Kentucky",3038156
"Louisiana",3257022
"Maine",969265
"Maryland",3100689
"Massachusetts",5148578
"Michigan",7823194
"Minnesota",3413864
"Mississippi",2178141
"Missouri",4319813
"Montana",674767
"Nebraska",1411330
"Nevada",285278
"New Hampshire",606921
"New Jersey",6066782
"New Mexico",951023
"New York",16782304
"North Carolina",4556155
"North Dakota",632446
"Ohio",9706397
"Oklahoma",2328284
"Oregon",1768687
"Pennsylvania",11319366
"Rhode Island",859488
"South Carolina",2382594
"South Dakota",680514
"Tennessee",3567089
"Texas",9579677
"Utah",890627
"Vermont",389881
"Virginia",3966949
"Washington",2853214
"West Virginia",1860421
"Wisconsin",3951777
"Wyoming",330066
"District of Columbia",763956
"Puerto Rico",2349544
