"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2348174,43,54609,-427,-0.7758558034740898
"Arizona",334162,6,55694,658,1.1955810742059743
"Arkansas",1752204,32,54756,-280,-0.5087579039174358
"California",3426861,62,55272,236,0.4288102333018388
"Colorado",939629,17,55272,236,0.4288102333018388
"Connecticut",1380631,25,55225,189,0.3434115851442692
"Delaware",223003,4,55751,715,1.2991496475034523
"Florida",968470,18,53804,-1232,-2.2385347772367177
"Georgia",2895832,53,54638,-398,-0.7231630205683552
"Idaho",431866,8,53983,-1053,-1.913293117232357
"Illinois",6485280,118,54960,-76,-0.13809143106330402
"Indiana",2930390,53,55290,254,0.461516098553674
"Iowa",2404021,44,54637,-399,-0.7249800130823462
"Kansas",1769257,32,55289,253,0.45969910603968317
"Kentucky",2416630,44,54923,-113,-0.2053201540809652
"Louisiana",1798509,33,54500,-536,-0.9739079874990915
"Maine",768014,14,54858,-178,-0.32342466749036997
"Maryland",1449661,26,55756,720,1.3082346100734066
"Massachusetts",3852356,70,55034,-2,-0.003633985027981685
"Michigan",3668412,67,54752,-284,-0.5160258739733992
"Minnesota",2387125,43,55515,479,0.8703394142016134
"Mississippi",1790618,32,55957,921,1.673450105385566
"Missouri",3404055,62,54904,-132,-0.23984301184679116
"Montana",548889,10,54889,-147,-0.2670978995566538
"Nebraska",1296372,24,54016,-1020,-1.8533323642706594
"Nevada",77407,1,77407,22371,40.64793953048913
"New Hampshire",443083,8,55385,349,0.634130387382804
"New Jersey",3155900,57,55367,331,0.6014245221309689
"New Mexico",360350,7,51479,-3557,-6.463042372265426
"New York",10385227,188,55241,205,0.3724834653681227
"North Carolina",2559123,46,55633,597,1.084744530852533
"North Dakota",646872,12,53906,-1130,-2.053201540809652
"Ohio",5759394,104,55379,343,0.6232284322988589
"Oklahoma",2028283,37,54818,-218,-0.39610436805000365
"Oregon",783389,14,55956,920,1.6716331128715751
"Pennsylvania",8720017,158,55190,154,0.2798168471545897
"Rhode Island",604397,11,54945,-91,-0.16534631877316666
"South Carolina",1683724,31,54314,-722,-1.3118685951013882
"South Dakota",636547,12,53046,-1990,-3.615815102841776
"Tennessee",2337885,42,55664,628,1.141071298786249
"Texas",4663228,85,54862,-174,-0.31615669743440655
"Utah",449396,8,56174,1138,2.0677374809215787
"Vermont",352428,6,58738,3702,6.726506286794098
"Virginia",2309187,42,54981,-55,-0.09993458826949633
"Washington",1356621,25,54265,-771,-1.4009012282869393
"West Virginia",1463701,27,54211,-825,-1.499018824042445
"Wisconsin",2632067,48,54835,-201,-0.36521549531215936
"Wyoming",194402,4,48600,-6436,-11.69416382004506
"Alaska",55036,1,55036,0,0.0
"Hawaii",255912,5,51182,-3854,-7.002689148920706
"Puerto Rico",1299809,24,54159,-877,-1.5935024347699687
"TOTAL",106883806,1943,55010,-26,-0.0472418053637619
